# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch3600.dat -cam -discard 0.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 386.625
# sub_a, sub_b = 494.247 -11.2439
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
  203   4.40357  0.22076     64.908  0.249 +-  0.000  0.000    -31.49     -3.96
  204   3.20378  5.35464    111.800  0.299 +-  0.000  0.000     -3.88     -1.55
  205  -5.03475  5.73100     71.335  0.369 +-  0.000  0.000    -71.33     -5.87
  206  -9.20909  1.06899      2.537  0.000 +-  0.000  0.000      2.54      2.54
  207 -10.42306  6.10899      2.069  0.000 +-  0.000  0.000      2.07      2.07
  208  -8.98010  3.64398      3.257  0.000 +-  0.000  0.000      3.26      3.26
  209  -7.64730  1.62875     19.369  0.000 +-  0.000  0.000     19.37     19.37
  210   1.10309  4.43288    106.172  0.279 +-  0.000  0.000     -1.79    -28.03
  211  -0.13506  0.87754    270.941  0.349 +-  0.000  0.000    135.98     98.49
  212  -2.46050  5.82289    113.437  0.329 +-  0.000  0.000    -13.81    -26.83
  213   6.43516  5.87261     36.078  0.000 +-  0.000  0.000     36.08     36.08
  214  -0.74508  1.79025    174.225  0.329 +-  0.000  0.000     46.98     13.61
  215  -3.26990  3.14190    100.511  0.319 +-  0.000  0.000    -22.88    -18.86
  216   9.63268  4.84770      4.280  0.000 +-  0.000  0.000      4.28      4.28
  217   4.18777  0.67018    122.261  0.329 +-  0.000  0.000     -4.98     24.49
  218  -5.74067  0.59139     48.953  0.359 +-  0.000  0.000    -89.86      4.54
  219   2.25630  3.03306     93.834  0.259 +-  0.000  0.000     -6.42    -19.48
  220   8.51802  2.64277     11.688  0.000 +-  0.000  0.000     11.69     11.69
  221   3.88098  6.08290    105.456  0.279 +-  0.000  0.000     -2.51     14.73
  222  -6.49275  1.66779     36.296  0.000 +-  0.000  0.000     36.30     36.30
  223   0.44434  4.66396    137.868  0.289 +-  0.000  0.000     26.05     -4.44
  224   4.88101  6.27662     80.890  0.319 +-  0.000  0.000    -42.50      8.65
  225  -1.00746  3.80785    177.540  0.379 +-  0.000  0.000     31.01     -5.45
  226   8.66274  6.13267      5.012  0.000 +-  0.000  0.000      5.01      5.01
  227 -11.67755  4.25177      1.037  0.000 +-  0.000  0.000      1.04      1.04
  228   0.03936  3.40299    149.777  0.329 +-  0.000  0.000     22.53    -12.88
  229   7.38716  5.92370     29.822  0.000 +-  0.000  0.000     29.82     29.82
