# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 2.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 13.4505
# sub_a, sub_b = 27.253 -0.422153
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
  111   4.46682  1.64363      2.777  0.409 +-  0.000  0.000     -2.72     -4.92
  112  -2.66111  3.55980      2.304  0.150 +-  0.000  0.000      0.29     -1.33
  113   2.37705  1.34414      5.426  0.349 +-  0.000  0.000      0.73     -3.25
  114   2.14446  4.44438     15.357  0.349 +-  0.000  0.000     10.66      6.52
  115   7.79302  4.76148      2.305  0.000 +-  0.000  0.000      2.30      2.30
  116   2.55487  2.93927      9.806  0.389 +-  0.000  0.000      4.57      0.28
  117   3.94452  5.79330      4.821  0.259 +-  0.000  0.000      1.33     -0.54
  118   2.08673  2.95983      7.021  0.369 +-  0.000  0.000      2.06     -2.36
  119  -6.60920  1.49139      2.812  0.000 +-  0.000  0.000      2.81      2.81
  120   2.69629  1.85649      9.990  0.439 +-  0.000  0.000      4.09     -0.62
  121  -2.18941  6.01961      6.392  0.309 +-  0.000  0.000      2.23     -1.41
  122   9.46121  0.32542      2.118  0.000 +-  0.000  0.000      2.12      2.12
  123   4.90788  1.45743      5.025  0.529 +-  0.000  0.000     -2.08     -4.01
  124  -7.67259  6.22581      4.233  0.000 +-  0.000  0.000      4.23      4.23
  125  -0.14601  1.87301      4.995  0.309 +-  0.000  0.000      0.84     -3.43
  126   0.89440  4.27710     40.863  0.718 +-  0.000  0.000     31.20     21.54
  127  -1.70544  1.70756      7.486  0.339 +-  0.000  0.000      2.93     -1.34
  128  -3.77880  2.54144      4.506  0.299 +-  0.000  0.000      0.48     -1.84
  129  11.49152  3.93647      2.037  0.000 +-  0.000  0.000      2.04      2.04
  130  -5.51935  1.37127      5.434  0.449 +-  0.000  0.000     -0.60     -1.03
  131  -3.12262  5.67769      3.548  0.189 +-  0.000  0.000      1.00     -0.84
  132   7.86943  2.73909      2.008  0.000 +-  0.000  0.000      2.01      2.01
  133  -2.57088  0.77638      5.524  0.289 +-  0.000  0.000      1.63     -1.55
  134  -2.96980  0.26878      4.585  0.319 +-  0.000  0.000      0.29     -2.92
  135  -2.29948  4.65128      6.040  0.409 +-  0.000  0.000      0.54     -4.19
  136   3.31563  3.15282      4.554  0.389 +-  0.000  0.000     -0.68     -4.24
  137  -0.74486  5.87718      2.045  0.150 +-  0.000  0.000      0.03     -2.00
  138   7.39201  1.82157      4.799  0.000 +-  0.000  0.000      4.80      4.80
  139  -6.78125  5.72687      4.511  0.000 +-  0.000  0.000      4.51      4.51
  140   6.34298  4.54777      2.494  0.000 +-  0.000  0.000      2.49      2.49
  141   6.99210  0.54606      2.242  0.000 +-  0.000  0.000      2.24      2.24
  142   2.39619  5.27029      4.376  0.309 +-  0.000  0.000      0.22     -3.30
  143  -1.11423  1.23690      4.448  0.509 +-  0.000  0.000     -2.39     -9.15
  144   4.81182  2.49674      9.195  0.189 +-  0.000  0.000      6.65      5.88
  145  -9.12292  0.94118      2.461  0.000 +-  0.000  0.000      2.46      2.46
  146   4.42822  3.28436     14.662  0.469 +-  0.000  0.000      8.36      5.77
  147  -7.74258  2.18625      2.365  0.000 +-  0.000  0.000      2.36      2.36
  148  -4.88197  0.64156     10.477  0.509 +-  0.000  0.000      3.64      1.73
  149   5.54553  6.13752      2.093  0.229 +-  0.000  0.000     -0.99     -1.18
  150   3.29871  1.34827      2.279  0.299 +-  0.000  0.000     -1.75     -4.50
  151  -1.17181  1.86439      9.395  0.309 +-  0.000  0.000      5.24      1.15
  152   2.24611  6.15923      5.781  0.209 +-  0.000  0.000      2.96      0.52
  153   1.23327  2.06678      5.045  0.369 +-  0.000  0.000      0.08     -4.77
  154   0.07881  0.50040      7.150  0.519 +-  0.000  0.000      0.17     -6.98
  155   0.60891  1.37014      4.288  0.249 +-  0.000  0.000      0.93     -2.47
  156   0.55197  3.94953      2.338  0.289 +-  0.000  0.000     -1.55     -5.51
  157  -0.90483  3.34100     16.992  0.638 +-  0.000  0.000      8.41     -0.18
  158   1.05184  3.33569      4.446  0.259 +-  0.000  0.000      0.96     -2.50
  159   6.69232  0.24002      3.172  0.000 +-  0.000  0.000      3.17      3.17
  160  -2.57208  3.15516     16.476  0.578 +-  0.000  0.000      8.70      2.33
  161  -5.84375  5.57463      2.442  0.180 +-  0.000  0.000      0.03      0.14
  162   5.99910  3.09380      4.212  0.269 +-  0.000  0.000      0.59      0.96
  163  -2.67631  1.55360      7.350  0.379 +-  0.000  0.000      2.25     -1.83
  164   2.70034  6.25179      3.329  0.409 +-  0.000  0.000     -2.17     -6.56
  165  -5.04252  6.19816      9.956  0.399 +-  0.000  0.000      4.59      3.37
  166   4.83037  4.06814      6.971  0.509 +-  0.000  0.000      0.13     -1.88
